label,video_url,file_exists,letter,assuntos,acepção,exemplo,exemplo libras,classe gramatical,origem
A,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/aSm_Prog001.mp4,True,A,NENHUM,Primeira letra do alfabeto da língua portuguesa; sinal gráfico elementar com que se representam os vocábulos na língua escrita.,Invente qualquer palavra que comece com a letra A.,VOCÊ INVENTAR QUALQUER PALAVRA COMEÇAR A.,SUBSTANTIVO,Nacional
ABACATE,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abacateSm_Prog001.mp4,True,A,FRUTA,"O fruto do abacateiro. Comestível, tem a polpa amarelada e macia. É consumido puro, com açúcar, em pratos salgados ou em vitaminas.",Você gosta de abacate com leite?,VOCÊ GOSTAR ABACATE LEITE JUNTO?,SUBSTANTIVO,Nacional
ABACAXI,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abacaxiSm_Prog001.mp4,True,A,FRUTA,"Fruta de casca grossa e áspera. Sua polpa pode ser consumida pura, em forma de sucos, doces e sorvetes.","Hoje tomei suco de abacaxi, ele estava ácido.",HOJE S-U-C-O ABACAXI BEBER ÁCID@.,SUBSTANTIVO,Nacional
ABAFAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abafarSm_Prog001.mp4,True,A,NENHUM,"Cobrir ou fechar, para manter o calor.","Se você quer abafar seu quarto, é melhor fechar tudo.",S-I VOCÊ QUERER QUARTO SE@ ABAFAR A-R? MELHOR FECHAR-TUDO.,VERBO,Nacional
ABAIXO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abaixoSm_Prog001.mp4,True,A,NENHUM,"Lugar, posição ou situação inferior, em relação a outros de nível mais elevado.","Não é no primeiro apartamento abaixo, é no segundo.",APARTAMENTO PRIMEIR@ NÃO SEGUND@ ABAIXO.,ADV.,Nacional
ABAIXO-ASSINADO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abaixo-assinadoSm_Prog001.mp4,True,A,NENHUM,"Lista encaminhada a determinado destinatário, com a assinatura de pessoas que reivindicam ou manifestam sua opinião sobre um assunto.",Os surdos fizeram um abaixo-assinado pedindo mais empregos ao governo.,SURD@ ABAIXO-ASSINADO PEDIR GOVERNO EMPREGO MAIS.,LOC. SUBST.,Nacional
ABAJUR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abajurSm_Prog001.mp4,True,A,CASA,Quebra-luz; peça usada para oferecer iluminação indireta em ambientes.,A lâmpada do abajur queimou.,coisa-cônicaLÂMPADA LÂMPADA-QUEIMAR .,SUBSTANTIVO,Nacional
ABANAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abanarSm_Prog001.mp4,True,A,NENHUM,Agitar seguidamente um leque ou abano.,Está vendo aquela velha se abanando? Ela é avó da minha amiga.,2sOLHAR3s VELH@ ABANAR-LEQUE LÁ(ME) V-O-V-O AMIG@(MD).,VERBO,Nacional
ABANDONAR1,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abandonar1Sm_Prog001.mp4,True,A,NENHUM,"Desprezar, largar, deixar de cuidar.",O carro velho foi abandonado naquela garagem.,AQUEL@ CARAGEM CARRO VELH@ ABANDONAR.,VERBO,Nacional
ABANDONAR2,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abandonar2Sm_Prog001.mp4,True,A,NENHUM,"Deixar pessoa ou algum objeto, sem intenção de retomá-lo.",Coitada dessa criança tão bonita dormindo na rua. Como seus pais tiveram coragem de abandoná-la?!,CRIANÇA BONIT@ DORMIR R-U-A COITAD@! P-A-I M-Ã-E DEL@ ABANDONAR CORAGEM?!,VERBO,Nacional
ABARROTADO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abarrotadoSm_Prog001.mp4,True,A,NENHUM,Muito cheio; ocupado acima da capacidade normal.,Ontem o metrô estava abarrotado de gente.,ONTEM METRÔ PESSOA MUIT@ ABARROTAD@ pessoaCHEI@,ADJETIVO,Nacional
ABASTADO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abastadoSm_Prog001.mp4,True,A,NENHUM,Possuidor de bens; rico; endinheirado.,"Ele é rico, abastado.",EL@ RIC@ ABASTAD@.,ADJETIVO,Nacional
ABATIDO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abatidoSm_Prog001.mp4,True,A,SENTIMENTOS,Deprimido; desanimado.,A família consolou a viúva que estava abatida.,FAMÍLIA CONSOLAR MULHER VIÚV@ ABATID@,ADJETIVO,Nacional
ABATIMENTO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abatimentoSm_Prog001.mp4,True,A,NENHUM,Desconto; redução.,Você pode fazer abatimento dos gastos hospitalares no Imposto de Renda.,HOSPITAL GASTAR VOCÊ I.R. ABATIMENTO PODER.,SUBSTANTIVO,Nacional
ABDICAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abdicarSm_Prog001.mp4,True,A,NENHUM,Ato voluntário de renúncia a um cargo conferido por nobreza ou honraria.,O Coronel abdicou de tornar-se major do exército.,HOMEM AQUEL@ CORONEL ABDICAR MAJOR EXERCITO.,VERBO,Nacional
ABDÔMEN,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abdomenSm_Prog001.mp4,True,A,CORPO,"Região entre o tórax e a bacia, em cuja cavidade estão os órgãos digestivos, urinários e outros igualmente importantes; ventre; barriga.",O médico me mandou tirar raio-x do abdômen.,MÉDIC@ 3sMANDAR1s RAIO-X ABDÔMEN.,SUBSTANTIVO,Nacional
ABELHA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abelhaSm_Prog001.mp4,True,A,ANIMAL/INSETO/PEIXE/AVE,Inseto de quatro asas membranosas e aparelho bucal mastigador. Algumas espécies fabricam o mel.,O mel de abelha é bom contra a tosse.,MEL ABELHA BO@ TOSSE.,SUBSTANTIVO,Nacional
ABENÇOAR1,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abencoar1Sm_Prog001.mp4,True,A,NENHUM,Dar a benção; benzer.,Eu orei a Deus para abençoar minha vida.,EU ORAR DEUS ABENÇOAR VIDA BEM.,VERBO,Nacional
ABENÇOAR2,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abencoar2Sm_Prog001.mp4,True,A,NENHUM,Dar a benção; benzer.,"No final do culto, o pastor abençoou a todos.",F-I-M CULTO PASTOR ABENÇOARtodos.,VERBO,Nacional
ABERTO1,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/aberto1Sm_Prog001.mp4,True,A,NENHUM,O que permite a passagem; o que não está fechado.,Ontem você deixou a porta da sala aberta.,ONTEM VOCÊ CASA PORTA-ABERT@ DEIXAR S-A-L-A.,ADJETIVO,Nacional
ABERTO2,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/aberto2Sm_Prog001.mp4,True,A,NENHUM,"Acessível, livre, transponível.",O curso de computação vai estar aberto no sábado.,CURSO COMPUTADOR TER ABERT@ SÁBADO.,ADJETIVO,Nacional
ABERTURA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/aberturaSm_Prog001.mp4,True,A,NENHUM,Início de um evento; solenidade com que são abertos os trabalhos de um evento.,"A abertura do seminário do MEC, na semana passada, foi ótima!",SEMANA PASSAD@ ABERTURA SEMINÁRIO M-E-C ÓTIM@!,SUBSTANTIVO,Nacional
ABISMAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abismarSm_Prog001.mp4,True,A,NENHUM,Assombrado ou admirado.,"Estou abismado, que casa tão grande e tão bonita!",ABISMAD@ CASA GRANDEmuito BONIT@muito!,ADJETIVO,Nacional
ABÓBORA1,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abobora1Sm_Prog001.mp4,True,A,LEGUME/VERDURA,"Tipo de fruto comestível, muito usado em preparações salgadas e doces da culinária brasileira.","Eu já comi doce de abóbora, é gostoso!",DOCE LARANJA^coisa-volumosa-arredondada COMER JÁ GOSTOS@!,SUBSTANTIVO,Nacional
ABÓBORA2,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abobora2Sm_Prog001.mp4,True,A,LEGUME/VERDURA,"Tipo de fruto comestível, muito usado em preparações salgadas e doces da culinária brasileira.",Eu nunca comi abóbora verde.,VERDE coisa-sinuosa EU COMER N-U-N-C-A.,SUBSTANTIVO,Nacional
ABOBRINHA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abobrinhaSm_Prog001.mp4,True,A,LEGUME/VERDURA,"Fruto de aboboreira. Legume de casca verde e polpa esverdeada, usado em refogados, cozidos e outras preparações salgadas.",Hoje não encontrei abobrinha na feira.,HOJE FEIRA PROCURAR ENCONTRAR NÃO ABOBRINHA.,SUBSTANTIVO,Nacional
