label,video_url,signer_number,scraped_label,scraped_video_url,sign_variant,signer_number,video_url_root,video_url_ext,number_in_label
À-TOA,https://videos.nals.cce.ufsc.br/SignBank/Vídeos/À-TOA.mp4,2,À-TOA,https://levantelab.storage.googleapis.com/libras/gerais/wG5kHVgwmbXgATScqqfdvxTnCrazzkaKhMBxX2bL.mp4,1,2,levantelab,mp4,False
À-VISTA,https://videos.nals.cce.ufsc.br/SignBank/Vídeos/À-VISTA.mp4,2,À-VISTA,https://levantelab.storage.googleapis.com/libras/gerais/53C7Xn7CxlM6AOHCtxniZpsVd4HHrilN3a46d9CJ.mp4,1,2,levantelab,mp4,False
ABACAXI,https://videos.nals.cce.ufsc.br/SignBank/Vídeos/ABACAXI.mp4,2,ABACAXI,https://levantelab.storage.googleapis.com/libras/gerais/iLZ21NCD2VtjAvpznGTTNiawuUBneWCQhzMJ9ODz.mp4,1,2,levantelab,mp4,False
ABANAR,https://videos.nals.cce.ufsc.br/SignBank/Vídeos/ABANAR.mp4,2,ABANAR,https://levantelab.storage.googleapis.com/libras/gerais/swiQhJZ6FoTLXBi1u8AgLBLjvhzUO1fbPLK1EEao.mp4,1,2,levantelab,mp4,False
ABANDONAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABANDONAR.mp4,1,ABANDONAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABANDONAR.mp4,1,1,videos,mp4,False
ABELHA,https://videos.nals.cce.ufsc.br/SignBank/Vídeos/ABELHA.mp4,2,ABELHA,https://levantelab.storage.googleapis.com/libras/gerais/d89JA9j6go5VSMhQKRAe6R2uWZBfe29sgUTJKb2w.mp4,1,2,levantelab,mp4,False
ABENÇOAR,https://videos.nals.cce.ufsc.br/SignBank/Vídeos/ABENÇOAR.mp4,2,ABENÇOAR,https://levantelab.storage.googleapis.com/libras/gerais/eq3hmMAxEq55MmhMwVwlLIEBI1w40ahiuIvvpmb5.mp4,1,2,levantelab,mp4,False
ABORDAGEM,https://videos.nals.cce.ufsc.br/SignBank/Vídeos/ABORDAGEM.mp4,2,ABORDAGEM,https://levantelab.storage.googleapis.com/libras/gerais/uJfvRogIA9RfpKAzLwbNHj0YhwefBstzwLxEBkzB.mp4,1,2,levantelab,mp4,False
ABORTAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABORTAR.mp4,1,ABORTAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABORTAR.mp4,1,1,videos,mp4,False
ABORTAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABORTAR2.mp4,1,ABORTAR-2,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABORTAR2.mp4,2,1,videos,mp4,True
ABRAÇAR,https://videos.nals.cce.ufsc.br/SignBank/Vídeos/ABRAÇAR.mp4,2,ABRAÇAR,https://levantelab.storage.googleapis.com/libras/gerais/8HTCqjHZWmq0TPUAgtNxGDMobSHwsfjpUmlUjMCP.mp4,1,2,levantelab,mp4,False
ABRIL,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABRIL.mp4,1,ABRIL,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABRIL.mp4,1,1,videos,mp4,False
ABRIR-MENTE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABRIR-MENTE.mp4,1,ABRIR-MENTE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABRIR-MENTE.mp4,1,1,videos,mp4,False
ABSORVENTE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABSORVENTE.mp4,1,ABSORVENTE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABSORVENTE.mp4,1,1,videos,mp4,False
ABSORVER,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABSORVER.mp4,1,ABSORVER,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABSORVER.mp4,1,1,videos,mp4,False
ABSTER,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABSTER.mp4,1,ABSTER,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABSTER.mp4,1,1,videos,mp4,False
ABSTRATO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABSTRATO.mp4,1,ABSTRATO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABSTRATO.mp4,1,1,videos,mp4,False
ABSURDO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABSURDO.mp4,1,ABSURDO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABSURDO.mp4,1,1,videos,mp4,False
ABSURDO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABSURDO2.mp4,1,ABSURDO-2,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABSURDO2.mp4,2,1,videos,mp4,True
ABSURDO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABSURDO3.mp4,1,ABSURDO-3,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABSURDO3.mp4,3,1,videos,mp4,True
