label,signer_number,video_url,sign_url,signer_order
À noite toda ,1,https://libras.cin.ufpe.br/storage/videos/20210126072453_601096b5ed907.mp4,https://libras.cin.ufpe.br/sign/885,132
À noite toda ,3,https://libras.cin.ufpe.br/storage/videos/20210411080131_6072d70b74896.mp4,https://libras.cin.ufpe.br/sign/885,132
À noite toda ,2,https://libras.cin.ufpe.br/storage/videos/20210929042018_6154bc720abf7.mp4,https://libras.cin.ufpe.br/sign/885,132
À tarde toda ,1,https://libras.cin.ufpe.br/storage/videos/20201221023954_5fe0ddea908eb.mp4,https://libras.cin.ufpe.br/sign/100,123
À tarde toda ,2,https://libras.cin.ufpe.br/storage/videos/20201221023954_5fe0ddea96624.mp4,https://libras.cin.ufpe.br/sign/100,123
À tarde toda ,3,https://libras.cin.ufpe.br/storage/videos/20210329103021_6061d66d229d2.mp4,https://libras.cin.ufpe.br/sign/100,123
Abacaxi ,3,https://libras.cin.ufpe.br/storage/videos/20210127091036_6011583c87073.mp4,https://libras.cin.ufpe.br/sign/817,312
Abacaxi ,1,https://libras.cin.ufpe.br/storage/videos/20210128115432_601378e8d032d.mp4,https://libras.cin.ufpe.br/sign/817,312
Abacaxi ,2,https://libras.cin.ufpe.br/storage/videos/20210929043133_6154bf1508f4a.mp4,https://libras.cin.ufpe.br/sign/817,312
Abanar ,1,https://libras.cin.ufpe.br/storage/videos/20210501070948_608d28ecb0e74.mp4,https://libras.cin.ufpe.br/sign/1536,132
Abanar ,3,https://libras.cin.ufpe.br/storage/videos/20210623032101_60d37b8df3734.mp4,https://libras.cin.ufpe.br/sign/1536,132
Abanar ,2,https://libras.cin.ufpe.br/storage/videos/20210929042550_6154bdbe88959.mp4,https://libras.cin.ufpe.br/sign/1536,132
Abandonar ,1,https://libras.cin.ufpe.br/storage/videos/20201221125913_5fe0c651a8bc2.mp4,https://libras.cin.ufpe.br/sign/71,123
Abandonar ,2,https://libras.cin.ufpe.br/storage/videos/20210209055625_6022f6f9e1a7b.mp4,https://libras.cin.ufpe.br/sign/71,123
Abandonar ,3,https://libras.cin.ufpe.br/storage/videos/20210331110628_606481e488ae6.mp4,https://libras.cin.ufpe.br/sign/71,123
Abelha ,3,https://libras.cin.ufpe.br/storage/videos/20210128033241_6013034933114.mp4,https://libras.cin.ufpe.br/sign/1121,312
Abelha ,1,https://libras.cin.ufpe.br/storage/videos/20210505115038_6092b0be62225.mp4,https://libras.cin.ufpe.br/sign/1121,312
Abelha ,2,https://libras.cin.ufpe.br/storage/videos/20210929043212_6154bf3c31c6d.mp4,https://libras.cin.ufpe.br/sign/1121,312
Abençoar ,1,https://libras.cin.ufpe.br/storage/videos/20201222044636_5fe24d1cce30a.mp4,https://libras.cin.ufpe.br/sign/207,123
Abençoar ,2,https://libras.cin.ufpe.br/storage/videos/20201223080800_5fe3cdd0d9774.mp4,https://libras.cin.ufpe.br/sign/207,123
Abençoar ,3,https://libras.cin.ufpe.br/storage/videos/20210331110631_606481e74680e.mp4,https://libras.cin.ufpe.br/sign/207,123
Abóbora ,3,https://libras.cin.ufpe.br/storage/videos/20210128055247_6013241f54f42.mp4,https://libras.cin.ufpe.br/sign/1213,312
Abóbora ,1,https://libras.cin.ufpe.br/storage/videos/20210505074700_609277a470e6b.mp4,https://libras.cin.ufpe.br/sign/1213,312
Abóbora ,2,https://libras.cin.ufpe.br/storage/videos/20210929043239_6154bf5725f4a.mp4,https://libras.cin.ufpe.br/sign/1213,312
Aborto ,3,https://libras.cin.ufpe.br/storage/videos/20210331110633_606481e98b276.mp4,https://libras.cin.ufpe.br/sign/72,312
Aborto ,1,https://libras.cin.ufpe.br/storage/videos/20210908085313_61394ce9b2f61.mp4,https://libras.cin.ufpe.br/sign/72,312
Aborto ,2,https://libras.cin.ufpe.br/storage/videos/20210929043258_6154bf6a9bb7a.mp4,https://libras.cin.ufpe.br/sign/72,312
Abraço ,1,https://libras.cin.ufpe.br/storage/videos/20210114111956_6000530ce4618.mp4,https://libras.cin.ufpe.br/sign/405,123
Abraço ,2,https://libras.cin.ufpe.br/storage/videos/20210114111956_6000530cf225e.mp4,https://libras.cin.ufpe.br/sign/405,123
Abraço ,3,https://libras.cin.ufpe.br/storage/videos/20210331110639_606481ef54c64.mp4,https://libras.cin.ufpe.br/sign/405,123
Abrir a janela ,3,https://libras.cin.ufpe.br/storage/videos/20210127091430_601159269ac75.mp4,https://libras.cin.ufpe.br/sign/819,321
Abrir a janela ,2,https://libras.cin.ufpe.br/storage/videos/20210929043317_6154bf7dbcbc9.mp4,https://libras.cin.ufpe.br/sign/819,321
Abrir a janela ,1,https://libras.cin.ufpe.br/storage/videos/20211029045051_617c509bd708e.mp4,https://libras.cin.ufpe.br/sign/819,321
Abrir a porta ,1,https://libras.cin.ufpe.br/storage/videos/20210126072622_6010970e6c7c1.mp4,https://libras.cin.ufpe.br/sign/818,132
Abrir a porta ,3,https://libras.cin.ufpe.br/storage/videos/20210331110637_606481edd2909.mp4,https://libras.cin.ufpe.br/sign/818,132
Abrir a porta ,2,https://libras.cin.ufpe.br/storage/videos/20210929043334_6154bf8e5268a.mp4,https://libras.cin.ufpe.br/sign/818,132
Acabar ,1,https://libras.cin.ufpe.br/storage/videos/20201221031803_5fe0e6db09db5.mp4,https://libras.cin.ufpe.br/sign/116,123
Acabar ,2,https://libras.cin.ufpe.br/storage/videos/20201221031803_5fe0e6db0ee2e.mp4,https://libras.cin.ufpe.br/sign/116,123
Acabar ,3,https://libras.cin.ufpe.br/storage/videos/20210329103832_6061d85863bc8.mp4,https://libras.cin.ufpe.br/sign/116,123
Academia ,1,https://libras.cin.ufpe.br/storage/videos/20210123052640_600c868082968.mp4,https://libras.cin.ufpe.br/sign/699,132
Academia ,3,https://libras.cin.ufpe.br/storage/videos/20210331110654_606481fe03b25.mp4,https://libras.cin.ufpe.br/sign/699,132
Academia ,2,https://libras.cin.ufpe.br/storage/videos/20210929043349_6154bf9d1bdf1.mp4,https://libras.cin.ufpe.br/sign/699,132
Ação ,1,https://libras.cin.ufpe.br/storage/videos/20210114112159_600053870db18.mp4,https://libras.cin.ufpe.br/sign/406,123
Ação ,2,https://libras.cin.ufpe.br/storage/videos/20210114112159_60005387181b9.mp4,https://libras.cin.ufpe.br/sign/406,123
Ação ,3,https://libras.cin.ufpe.br/storage/videos/20210331111451_606483db6482a.mp4,https://libras.cin.ufpe.br/sign/406,123
Aceitar ,3,https://libras.cin.ufpe.br/storage/videos/20210331111453_606483dd65a02.mp4,https://libras.cin.ufpe.br/sign/1521,312
Aceitar ,1,https://libras.cin.ufpe.br/storage/videos/20210505115046_6092b0c68de8d.mp4,https://libras.cin.ufpe.br/sign/1521,312
Aceitar ,2,https://libras.cin.ufpe.br/storage/videos/20210929043409_6154bfb1176fc.mp4,https://libras.cin.ufpe.br/sign/1521,312
Acenar ,3,https://libras.cin.ufpe.br/storage/videos/20210128055303_6013242f8533d.mp4,https://libras.cin.ufpe.br/sign/1214,312
Acenar ,1,https://libras.cin.ufpe.br/storage/videos/20210505074730_609277c246531.mp4,https://libras.cin.ufpe.br/sign/1214,312
Acenar ,2,https://libras.cin.ufpe.br/storage/videos/20210929043424_6154bfc0461c6.mp4,https://libras.cin.ufpe.br/sign/1214,312
Acidente ,2,https://libras.cin.ufpe.br/storage/videos/20201221020706_5fe0d63a1c09b.mp4,https://libras.cin.ufpe.br/sign/86,213
Acidente ,1,https://libras.cin.ufpe.br/storage/videos/20210210072522_6023b492c23b2.mp4,https://libras.cin.ufpe.br/sign/86,213
Acidente ,3,https://libras.cin.ufpe.br/storage/videos/20210331111453_606483ddb45af.mp4,https://libras.cin.ufpe.br/sign/86,213
Acima ,1,https://libras.cin.ufpe.br/storage/videos/20201221010202_5fe0c6fa53800.mp4,https://libras.cin.ufpe.br/sign/73,123
Acima ,2,https://libras.cin.ufpe.br/storage/videos/20201221010202_5fe0c6fa5860c.mp4,https://libras.cin.ufpe.br/sign/73,123
Acima ,3,https://libras.cin.ufpe.br/storage/videos/20210329103841_6061d8611d21a.mp4,https://libras.cin.ufpe.br/sign/73,123
Acompanhar ,1,https://libras.cin.ufpe.br/storage/videos/20201221020919_5fe0d6bfd692f.mp4,https://libras.cin.ufpe.br/sign/87,123
Acompanhar ,2,https://libras.cin.ufpe.br/storage/videos/20201221020919_5fe0d6bfe16a7.mp4,https://libras.cin.ufpe.br/sign/87,123
Acompanhar ,3,https://libras.cin.ufpe.br/storage/videos/20210331111458_606483e2cc0bc.mp4,https://libras.cin.ufpe.br/sign/87,123
Aconselhar ,2,https://libras.cin.ufpe.br/storage/videos/20201221022752_5fe0db184b969.mp4,https://libras.cin.ufpe.br/sign/97,231
Aconselhar ,3,https://libras.cin.ufpe.br/storage/videos/20210331111453_606483dde8883.mp4,https://libras.cin.ufpe.br/sign/97,231
Aconselhar ,1,https://libras.cin.ufpe.br/storage/videos/20210505115045_6092b0c5b0f33.mp4,https://libras.cin.ufpe.br/sign/97,231
Acontecer ,1,https://libras.cin.ufpe.br/storage/videos/20210123060803_600c903365fbf.mp4,https://libras.cin.ufpe.br/sign/721,132
Acontecer ,3,https://libras.cin.ufpe.br/storage/videos/20210331111458_606483e2344ac.mp4,https://libras.cin.ufpe.br/sign/721,132
Acontecer ,2,https://libras.cin.ufpe.br/storage/videos/20210929043448_6154bfd82807a.mp4,https://libras.cin.ufpe.br/sign/721,132
Acordar (alarme) ,1,https://libras.cin.ufpe.br/storage/videos/20201221055057_5fe10ab11d93b.mp4,https://libras.cin.ufpe.br/sign/150,123
Acordar (alarme) ,2,https://libras.cin.ufpe.br/storage/videos/20201221055057_5fe10ab126f8c.mp4,https://libras.cin.ufpe.br/sign/150,123
Acordar (alarme) ,3,https://libras.cin.ufpe.br/storage/videos/20210331111613_6064842d06e5c.mp4,https://libras.cin.ufpe.br/sign/150,123
Acrescentar ,1,https://libras.cin.ufpe.br/storage/videos/20201221021825_5fe0d8e16baac.mp4,https://libras.cin.ufpe.br/sign/93,123
Acrescentar ,2,https://libras.cin.ufpe.br/storage/videos/20201221021825_5fe0d8e17698f.mp4,https://libras.cin.ufpe.br/sign/93,123
Acrescentar ,3,https://libras.cin.ufpe.br/storage/videos/20210331111621_60648435a9707.mp4,https://libras.cin.ufpe.br/sign/93,123
Açúcar ,2,https://libras.cin.ufpe.br/storage/videos/20201224074321_5fe470c95d3d0.mp4,https://libras.cin.ufpe.br/sign/214,213
Açúcar ,1,https://libras.cin.ufpe.br/storage/videos/20201224064420_5fe50bb4ad191.mp4,https://libras.cin.ufpe.br/sign/214,213
Açúcar ,3,https://libras.cin.ufpe.br/storage/videos/20210331111457_606483e1950c6.mp4,https://libras.cin.ufpe.br/sign/214,213
Adaptar ,1,https://libras.cin.ufpe.br/storage/videos/20210122122526_600aee6608466.mp4,https://libras.cin.ufpe.br/sign/215,123
Adaptar ,2,https://libras.cin.ufpe.br/storage/videos/20210122122526_600aee662405e.mp4,https://libras.cin.ufpe.br/sign/215,123
Adaptar ,3,https://libras.cin.ufpe.br/storage/videos/20210331111632_60648440700d2.mp4,https://libras.cin.ufpe.br/sign/215,123
Adiante ,3,https://libras.cin.ufpe.br/storage/videos/20210128055323_6013244362123.mp4,https://libras.cin.ufpe.br/sign/1215,312
Adiante ,1,https://libras.cin.ufpe.br/storage/videos/20210505074730_609277c29c858.mp4,https://libras.cin.ufpe.br/sign/1215,312
Adiante ,2,https://libras.cin.ufpe.br/storage/videos/20210929043513_6154bff1a8625.mp4,https://libras.cin.ufpe.br/sign/1215,312
Adiar ,1,https://libras.cin.ufpe.br/storage/videos/20210128115528_601379208ddb8.mp4,https://libras.cin.ufpe.br/sign/1315,132
Adiar ,3,https://libras.cin.ufpe.br/storage/videos/20210331112400_606486006d18e.mp4,https://libras.cin.ufpe.br/sign/1315,132
Adiar ,2,https://libras.cin.ufpe.br/storage/videos/20210929043526_6154bffedfc4f.mp4,https://libras.cin.ufpe.br/sign/1315,132
Admitir ,1,https://libras.cin.ufpe.br/storage/videos/20201221022548_5fe0da9cb23f4.mp4,https://libras.cin.ufpe.br/sign/96,123
Admitir ,2,https://libras.cin.ufpe.br/storage/videos/20201221022548_5fe0da9cb8363.mp4,https://libras.cin.ufpe.br/sign/96,123
Admitir ,3,https://libras.cin.ufpe.br/storage/videos/20210331112403_606486033cc14.mp4,https://libras.cin.ufpe.br/sign/96,123
